<new sheet>
sheet_name: 4.06
,4.06 Assets and Liabilities of the Central Bank - Monthly,,,,,,,,,,,,,,

,ASSETS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rs. Million,,
,End of period,A S S E T S,,,,,,,,,,,,,

,,International Reserves,,,,,,Domestic Assets,,,,Total Assets and Liabilities,International Reserve as a Percentage of Currency and Deposit Liabilities,,
,,Cash and Bank Balances Abroad Including Treasury Bills,Foreign Government and non Governmental securities            (a) (b),Special Drawing Rights,IMF Related Assets                    (c),Receivables              (d),Total,Loans and Advances to,,Government and Government Guaranteed Securities                    (f) ,Other Assets and Accounts ,,,,
,,,,,,,,Government ,Others                         (e),,,,percentage of Curresncy and Deposit Liabilities,,
,Sep,50000,0,50000,561928.7232612,12426.08595643,574354.80921763,0,264.19798584,17.76177416,334633.740739,590820.1203105261,4.258718,925740.0795275262,123932.54141008994
,Oct,50000,0,50000,562544.8107342,12499.89749083,575044.70822503,0,515.47219624,23.75486976,340312.655276,505833.78837230237,5.042726,846690.7134403023,129412.07529502036
,Nov,50000,0,50000,562988.1327592,12611.78256404,575599.91532324,0,539.9936048,23.6686512,335993.700219,469794.9033948873,7.265403,806359.5312728874,135118.9135970394
,Dec,50000,0,50000,585327.577344,12726.323673,598053.901017,0,297.3257228,27.1906512,341712.198338,482312.41461061366,4.022326,824353.1516486136,132426.47283270024
,2018 Jan,50000,0,50000,575095.3040742,12838.06093416,587933.36500836,0,235.7164145,26.8157055,342023.07686,497379.7688497384,5.995422,839671.3732517384,174162.53301427
,Feb,50000,0,50000,580069.1450752,12912.58999761,592981.73507281,0,241.52376069999997,24.1082263,345128.233749,490171.47358951013,3.485225,835568.8245505102,161430.06951886998
,Mar,50000,0,50000,626346.7702852,13085.39830573,639432.1685909299,0,292.5399937,25.3382263,357787.574117,447680.3017278219,3.797861,805789.5519258219,113484.03730266984
,Apr,50000,0,50000,622642.9475452,13195.68062708,635838.62817228,0,305.2000647,23.5268323,364199.233403,896293.3571066741,3.551095,1260824.8685016742,116497.31494553993
,May,50000,0,50000,598172.59645,13276.950178,611449.546628,0,415.79939094,23.33361606,361896.306148,709026.7011617442,17.579238,1071379.7195547444,118167.5496914098
,Jun,50000,0,50000,610897.3856452,13340.14545927,624237.53110447,0,347.41876094,28.06198006,374366.794706,754951.9320454072,4.853793,1129699.0612854073,119274.81508923974
,Jul,50000,0,50000,606159.7892352,13420.53990974,619580.32914494,0,334.39890835,28.08321865,381775.341779,563513.109746732,3.729807,945654.6634597321,151562.72989688022
,Aug,50000,0,50000,606098.6760552,13488.83399951,619587.5100547101,0,297.94415323,118.09932977,385007.608495,606333.027312402,4.418111,991761.097401402,145310.0274026799
,Sep,50000,0,50000,610017.7215602,13562.19611338,623579.91767358,0,305.990221227,107.051405773,386854.810991,532738.4255179304,16.46874,920022.7468759305,158557.17854949995
,Oct,50000,0,50000,599950.7364202,13639.47534084,613590.2117610399,0,211.18506616,62.90952084,384774.969312,729754.770344504,21.180182,1114825.014425504,193499.25443658023
,Nov,50000,0,50000,606710.19147,13719.477308,620429.6687779999,0,296.86290653000003,100.06184047,321077.072373,679379.8860601297,4.849599,1000858.7327791296,223108.70036181482
,Dec,50000,0,50000,627120.253353,13822.256442,640942.5097950001,0,301.09859265,47.61990935,320106.182918,652079.7724829307,18.333385,972553.0072879307,253943.21714217658
,2019 Jan,50000,0,50000,612262.6175382,13900.51965234,626163.13719054,0,354.19009597999997,47.88844302,322917.501909,558956.2172142663,6.589978,882282.3876402663,235105.82168894727
,Feb,50000,0,50000,622051.1523332,13971.40321205,636022.55554525,0,218.84054698,47.39988702,326968.51194,528533.06766949,9.049349,855776.86939249,231914.81978263007
,Mar,50000,0,50000,673494.7578482,14143.51539791,687638.2732461101,0,357.51774289,47.13147611,275252.894656,788943.2706853187,12.71581,1064613.5303703188,229692.7348000349
,Apr,50000,0,50000,663118.4387812,14255.83802837,677374.27680957,0,371.45764360000004,45.0452314,246809.612689,634869.1633519117,24.844684,882120.1235999117,279587.43052407005
,May,50000,0,50000,608442.1137262,14311.50337695,622753.61710315,0,445.69029649,42.68394151,226623.804613,551042.8884499979,20.85143,778175.918730998,305938.20823895093
,Jun,50000,0,50000,607189.2755892,14365.53699924,621554.81258844,0,260.85947433999996,78.13808166,252900.1047506,912667.8070842556,8.498634,1165915.4080248557,303055.21024473617
,Jul,50000,0,50000,612633.6599742,14439.41399218,627073.07396638,0,281.60740488,46.89059512,261299.237425,811607.0802715258,6.612411,1073241.428107526,279454.0961044398
,Aug,50000,0,50000,631639.6511592,14506.06031122,646145.71147042,0,434.74144824999996,99.99577275,267171.853675,842183.2142442053,6.537073,1109896.3422132053,282249.469056119
,Sep,50000,0,50000,635424.1901692,14586.96501408,650011.15518328,0,277.34376645,65.84943355,264590.482512,690325.0460018034,125.455474,955384.1771878033,314408.786205051
,Oct,50000,0,50000,634603.4125092,14669.38259193,649272.79510113,0,281.78871770999996,54.39797929,259031.128313,706159.1811166129,10.711821,965537.2079476129,305662.98765598866
,Nov,50000,0,50000,642972.4776892,14745.21864522,657717.69633442,0,392.80106735000004,53.62037565,261141.860594,638728.3982796211,6.037166,900322.7174826212,303738.06098697986
,Dec,50000,0,50000,663139.4095792,14827.74072677,677967.15030597,0,443.95033441,55.68853959,254581.619737,613812.9493354381,7.598701,868901.8066474381,322548.48216637643
,2020 Jan,50000,0,50000,653146.1778742,14896.22799596,668042.4058701601,0,454.77918381,106.61432719,267408.957306,601668.9271279543,6.061621,869645.3395659543,320260.73550377623
,Feb,50000,0,50000,668767.9010792,14968.99658372,683736.89766292,0,271.31650464,106.00774636,279439.936805,646376.1471399586,11.022759,926204.4309549585,337274.518662394
,Mar,50000,0,50000,790149.0730542,15041.27610637,805190.3491605701,0,772.77858764,107.17660836,208499.444598,600623.4663967488,6.033045,810008.8992357488,396965.6503236552
,Apr,50000,0,50000,806126.7091942,15043.24758504,821169.95677924,0,472.04025564,107.17060836,200312.310002,623682.5691075086,8.311112,824582.4010855086,488359.8244889057
,May,50000,0,50000,786112.7503442,15070.89215622,801183.64250042,0,529.45520364,106.57060836,195249.179304,608136.6883938472,12.271601,804034.1651108472,423451.4419422357
,Jun,50000,0,50000,753828.6853191999,15112.34884145,768941.0341606499,0,607.18730428,106.04840772,99905.635055,580464.1013926105,10.018194,681092.9903536105,512084.42336897505
,Jul,50000,0,50000,753190.079275,15195.0978071,768385.1770821001,0,711.72055812,112.96851588,110333.661248,732104.5580946442,6.184518,843269.0929346442,481776.2793060574
,Aug,50000,0,50000,752726.4122402,15264.35867586,767990.77091606,0,815.36861718,114.45340782,111723.198877,829493.0389962371,6.704646,942152.7645442372,527384.8771928065
,Sep,50000,0,50000,759984.6358802,15349.29328072,775333.92916092,0,604.09666018,31.16493282,116024.265476,1136841.8563369582,73.456383,1253574.8397889582,520395.64884637273
,Oct,50000,0,50000,795346.0879352,15400.17512572,810746.2630609199,0,708.69948297,58.47805803,117582.838651,860008.2089435658,14.514151,978372.7392865658,479403.3548251246
,Nov,50000,0,50000,799458.8461952,15437.9883864,814896.8345816,0,922.96935616,35.86246784,121324.04362,867807.0695841123,11.354587,990101.2996151122,511835.42301267525
,Dec,50000,0,50000,819298.4544052,15509.404884959999,834807.85929016,0,1430.15896206,30.35301794,129601.52093,857447.4211826187,9.189289,988518.6433816187,548270.6645231545
,2021 Jan,50000,0,50000,829203.6862061999,15564.097014879999,844767.78322108,0,1386.2111627299998,29.85753627,131099.477093,892971.7861549656,13.278433,1025500.6103799656,483977.75499343313
,Feb,50000,0,50000,837144.8516311999,15639.44896285,852784.30059405,0,562.67876168,41.12605032,125264.229523,729787.003223693,16.692666,855671.730224693,528784.4548640021
,Mar,50000,0,50000,884787.2995061999,15831.12147734,900618.4209835399,0,1043.74747679,41.15990721,127939.768945,621864.8175619179,11.260893,750900.754783918,515595.6319467025
,Apr,50000,0,50000,895143.2001511999,15938.959518950001,911082.1596701499,0,860.2446294599999,36.32878054,120025.892453,672442.2738507392,7.336823,793372.0765367392,495857.2823541728
,May,50000,0,50000,904373.0495211999,15962.13393367,920335.1834548699,0,844.63333289,31.87932711,115642.949058,704403.5839143749,7.096145,820930.1417773749,485527.41387171275
,Jun,50000,0,50000,934100.0448311999,15983.39765594,950083.44248714,0,826.67937164,29.56596636,114951.245395,625867.9025807442,17.442489,741692.8358027443,539440.4403897026
,Jul,50000,0,50000,926756.7922911999,16047.25920021,942804.0514914099,0,1027.23087486,29.10345814,121032.78004,742307.8627235108,237.752606,864634.7297025109,466905.27888504276
,Aug,50000,0,50000,951037.7953501999,16113.554025739999,967151.3493759399,0,993.78481186,28.99795814,122085.289882,956150.3068116,6.567782,1079264.9472456,459732.3910393624
,Sep,50000,0,50000,980218.8512001999,16160.99961382,996379.8508140199,0,1125.78678786,31.74795814,299544.189729,798079.7008047275,6.001268,1098787.4265477275,472644.2119539529
,Oct,50000,0,50000,971326.1210601999,16247.184747950001,987573.30580815,0,1393.39892875,36.61895725,298830.964411,829237.9447938504,8.73794,1129507.6650308503,536341.924781323
,Nov,50000,0,50000,953026.9864952,16367.40304552,969394.3895407199,0,1307.40459276,30.76955624,318377.711316,805743.6191293984,7.552339,1125467.0569333984,552197.6970491442
,Dec,50000,0,50000,988627.5614201999,16471.504784549998,1005099.06620475,0,1386.84033838,5.46067262,300704.162128,1132139.2352779103,8.700516,1434244.39893291,556934.6924962313
,2022 Jan,50000,0,50000,1008734.9463202,16566.94990184,1025301.8962220399,0,759.3484863799999,3.37369062,312184.223858,1259326.1631415498,7.315293,1572280.42446955,561482.0078125414
,Feb,50000,0,50000,1013005.2307102,16668.03936691,1029673.27007711,0,695.40107679,28.09594521,294533.079087,1309157.6894592599,9.505556,1604423.7711242598,483197.8405887312
,Mar,50000,0,50000,1082406.4499752,16918.02132163,1099324.47129683,0,1175.00833977,19.48640323,287356.17182346,1992921.16145175,22.451688,2281494.27970621,199055.81352979084
,Apr,50000,0,50000,1153678.4779502,16998.6086671,1170677.0866173,0,1063.1335582200002,19.53752378,311108.32033,2330074.1402519797,7.512731,2642272.64439498,61639.41148647107
,May,50000,0,50000,1138653.3699852,17058.06798711,1155711.43797231,0,977.65671257,27.50788343,259111.11249817003,2492194.43236121,5.430741,2752316.14019638,54012.65699941106
,Jun,50000,0,50000,1097638.9681602,17137.51395596,1114776.48211616,0,885.86042157,23.21982843,337796.69848301,2543749.7869592896,16.090966,2882471.6566582997,134479.09529669117
,Jul,50000,0,50000,1107175.8730452,17188.83455796,1124364.70760316,0,992.07121857,20.14170643,312062.73751419,2598706.2387597305,14.832078,2911796.0212769206,229401.24806055147
,Aug,50000,0,50000,1062473.9808202,17262.998772299998,1079736.9795925,0,615.50751473,55.03952527,306455.6321461,2570376.93171206,7.098736,2877510.2096341597,361781.6251981016
,Sep,50000,0,50000,1026583.2867151999,17335.287856029998,1043918.57457123,0,686.39424297,15.05855503,334644.94424663,2555253.26850124,97.998303,2890697.6638488695,381491.0202069306
,Oct,50000,0,50000,1008644.9059752,17386.94656313,1026031.85253833,0,432.96523038000004,15.08780962,315633.57691088,2580260.7971244203,14.347431,2896356.7745063,416616.38258359954
,Nov,50000,0,50000,988351.7735402,17426.44993273,1005778.22347293,0,251.60637407000002,12.47606793,312702.56015369,2599279.2678661393,17.984626,2912263.895087829,451996.77385635255
,Dec,50000,0,50000,1009093.7249451999,17473.52757131,1026567.25251651,0,209.78315934,11.62803066,322809.70148391,2604974.6989106103,12.360504,2928018.17208852,505761.6772862398
,2023 Jan,50000,0,50000,1012632.6139951999,17520.790197830003,1030153.4041930299,0,708.255809,8.267561,559557.47431104,2615483.61564001,11.822896,3175769.43621705,315379.7535112705
,Feb,50000,0,50000,1008703.2318182,17556.69341018,1026259.92522838,0,1387.91650896,7.96853604,478416.84252408,2634193.03155726,26.570885,3114032.33001134,376144.5111425691
,Mar,50000,0,50000,1092458.4238882,17650.46211296,1110108.88600116,0,294.31495926,9.37318774,314092.96669897996,2401818.75321875,36.815454,2716252.22351873,729708.1604240793
,Apr,50000,0,50000,1086692.7161982,17705.88315053,1104398.59934873,0,843.71303481,31.49720319,312643.8330005,2327434.95346766,40.113247,2640994.1099531604,769182.9483094984
,May,50000,0,50000,1054573.0708182,17753.520956790002,1072326.59177499,0,399.20503812000004,23.88019188,486773.82474643,2282245.26000198,24.705872,2769466.87585041,727592.2418683264
,Jun,50000,0,50000,1105530.0264782,17786.696063580002,1123316.72254178,0,190.01014352,14.91452048,312479.23018585,2342469.44069614,51.88362,2655205.47916599,923800.8547794074
,Jul,50000,0,50000,1078189.5119882,17828.28615205,1096017.79814025,0,271.5552883,20.1701767,277744.28150281,2604588.5017518,32.383806,2882656.89252561,928991.5222940091

,(i) Central Bank's own securities issued under Section 91(1)(b) of the Monetary Law Act.,,,,,,,,,,,,Source : Central Bank of Sri Lanka,,

,Note: Valuation changes arising from changes in the exchange rate have led to significant changes in monetary and credit aggregates during the period starting from March 2022.  ,,,,,,,,,,,,,,

