<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,,
,            October,339.25552869245774,440.5836071301091,491.52604549582105,389.28774691352055,411.3027360029755,593.0795102895823,385.6474296184925,531.9020437409462,438.38437137948694,128.87939525525928,1172.7883311274952,202.62486941855306,392.46100869960094,
,            November,353.51696122633535,467.3054500830072,550.2653927687993,417.6789206658813,378.4211200716661,567.8199405225284,381.32230926579837,492.65155670228563,408.35990614884787,190.8963889791145,697.3881233817468,226.67678306310827,407.09271491594745,
,            December,461.77018342499696,734.5103573111534,577.0440353707705,505.1891694789422,404.32823406576654,474.73045945590417,298.33113259426176,465.9769269997363,406.2192986083156,144.9151266832017,845.7724748798003,194.4262053678587,470.8086795669176,

,,,,,,,,,,,,            Source : Central Bank of Sri Lanka,,,
,"(a) A series with a wide coverage and 1997 as  the base year. In order to accommodate the variability arising from a monthly frequency, in  ",,,,,,,,,,,,,,
,"computing the monthly trade indices, first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio ",,,,,,,,,,,,,,
,between the value index and the volume index.  This methodology avoids the subjective imputation of prices that would be,,,,,,,,,,,,,,
,required in deriving  a price index first when certain items are not exported  or imported in  a particular month.,,,,,,,,,,,,,,
,(b) Revised,,,,,,,,,,,,,,
,(c) Provisional,,,,,,,,,,,,,,

,Table 2.6.2 : Trade Indices (Exports) - Unit Value (a) ,,,,,,,,,,,,,,

,,,,,,,,,,,,,Base Period 1997=100,,
,Period,Exports,,,,,,,,,,,,,
,,Industrial ,,,,Agricultural,,,,,Mineral ,,,Total,
,,Textiles and ,Petroleum ,Other,Total ,Tea,Rubber,Coconut ,Other Agri. ,Total ,Gems,Other,Total ,Exports,
,, Garments, Products,,,,, Products, Products,,,,,,

,2006    January,149.4,478.3,219.7,178.7,169.9,203.5,152.7,159,168.7,336,318.8,335.4,178.9,
,            February,149.2,303.8,200.6,168.7,171.3,224.1,133.6,174.3,170,201.8,541.3,250.5,169.1,
,            March,156.6,499.5,237.7,185,176.8,232.7,137,164.6,173.9,227.4,301.5,235,182.2,
,            April,165.4,525.9,164.9,169.3,168.7,243.4,172,184.1,175.4,241.7,562.3,268.7,170.7,
,            May,175.7,527.3,196.8,189.2,168.5,282.9,177.1,160.2,173.6,367.5,274.3,355.2,186.3,
,            June,183.8,561.2,229.3,206.5,168.7,305.4,172.3,137.9,169.4,186.8,717.4,212.9,197.4,
,            July,185.6,537,233.6,207.1,166.8,357.4,175.1,151.2,172,220.8,394.1,232.8,198.9,
,            August,183.1,553.3,263.7,211,172.4,326,169.2,160.8,176.7,162.9,253.9,171.3,202.5,
,            September,173.3,541.6,171.5,178.1,175.6,285.8,168.3,144.6,171.7,365.9,244.4,356.8,182.3,
,            October,179.4,630.9,172.5,181.4,179.7,286.4,169.3,173.8,182.6,254.6,291.3,257.6,182.9,
,            November,170,468.5,131.1,155.4,184.1,264.7,180.9,168.9,184.8,98.9,384,109.9,161.6,
,            December,159.6,512,213.2,179.5,182.2,265.8,186.7,176.8,185.1,112.3,281,125.9,179.4,

,2007    January,174.4,496.2,251.5,202.8,191.7,271.9,189.9,181.4,194.6,188,273.1,194.5,198.8,
,            February,161.1,482.6,224.2,185,193.5,282.2,180.2,193.7,197.3,99.6,253.7,114.8,183.5,
,            March,171.8,491.8,316.9,218.7,190.8,295.2,189,178.1,195.5,236.3,325.2,245,212,
,            April,176.8,530.5,166.2,175.5,210,300.3,194.3,187.9,211.1,292,475.2,317.3,182,
,            May,198.4,524.4,209.6,205.9,213.1,316.9,193.7,172.9,207.6,406.9,319.1,388.6,207,
,            June,189.7,560.2,261.7,219.5,212.9,311,188.5,175,207.6,233.4,283.1,241.1,215.5,
,            July,202.3,556.1,259.2,225.8,208.4,308.2,140.7,191.8,199.7,249.6,293.1,257.7,218.4,
,            August,199.4,575.4,270.1,229,228.1,306.2,189.5,154.5,212.3,180.4,305.6,195.6,227.1,
,            September,192.5,571,212.5,204.4,231.2,295.6,224.2,151.6,216.7,425.3,120.7,338.5,207.5,
,            October,192.5,582.1,203.2,202,241.5,318.3,151.8,229.3,229.1,126.5,222.7,137.3,205.8,
,            November,175,695.4,133.7,158.7,247.1,334.4,190,175,231,101.5,242.3,116.1,168.3,
,            December,164,727.8,210.7,183.8,245.2,323,195,180,232.2,115.1,213.2,127.8,187.8,

,2008   January,176.4064555337861,709.7728114476155,237.4091367776867,204.31298703458714,251.66417971198138,390.96786676704096,199.95800999205713,191.42965759890856,244.67513745385614,111.59118294948871,190.00351050942677,120.85053058933642,207.1622524035186,
,            February,162.58374450428832,684.0900189389306,215.43737782069107,186.9737361649151,251.35231403778798,353.7635911752897,210.2218303563353,200.64101737308619,245.46936981091233,543.6110748612674,193.51314722125863,455.36884318845176,198.5509872668576,
,            March,173.05365401870435,679.9908683220234,344.44201708288716,223.40951572105058,259.2866114068266,352.0443119501809,246.26770291835888,163.4782610947162,240.43030822336164,170.30788327607144,251.37531949864163,183.83016594032446,223.82826009091445,
,            April,179.30396687994119,782.1793691430474,188.7998302876402,190.14955119031669,259.81707763440903,356.6824405059286,247.42754717830397,199.98559305648013,252.68421493392924,545.707815483227,255.88019281515432,394.9497787534311,200.9220255255722,
,            May,194.54003850729347,786.0040548005148,220.14119719662494,212.68452753587974,258.8852767677672,383.01618916564985,256.0778501664953,186.74811868508874,244.9574334027828,216.73510577857033,284.1938746330916,229.13015329462363,215.7029505112336,
,            June,185.5427218972733,852.5657073616326,275.6500047280312,225.22906750970452,262.82658641856267,405.33780185294654,236.73647800014697,257.91027028873714,263.47057510094066,40.21563773887093,293.4994508656943,54.367113641230624,223.55547508363333,
,            July,196.2414125668822,937.8177107232515,273.9477914107546,228.15677314108788,270.1128245971293,446.61820262270976,222.879252299459,250.7955671203113,265.66713500839796,303.5518482114592,219.37322590538915,272.959976898429,234.17499254451633,
,            August,192.74230933869333,922.5557105185071,271.6223174184347,229.89339105146763,268.71686941409865,415.0118530221424,254.12833154852316,185.25419571116856,251.7824716024482,157.0108491143179,514.5704444200403,177.78289346185315,231.22207094662843,
,            September,184.24341503986383,858.5340145564082,214.32103387768132,202.9149167762312,273.1417951109367,406.5153513714525,269.4100435033356,175.11621362445487,255.11363199714583,365.37526674931456,260.03295597705284,345.05687680508015,213.68071570387514,
,            October,185.09398558206823,760.702924021696,201.09493296531474,196.45680343540027,267.69960440097685,362.833649284915,189.0979541765579,227.71766245767876,253.47957050579168,91.25500067502156,285.8732567460695,110.95032364114073,203.94916109341204,
,            November,176.41920988434455,592.8156163379496,142.42487770511946,163.3547141009916,247.1962757141362,283.6288683591368,176.34158054151848,156.5558516240064,221.74944907628648,43.2093685534629,147.35077281320443,52.97974641668897,167.18906900224036,
,            December,168.23272394861658,478.8700260842454,211.71591879850027,182.08460982816763,217.69137020255806,245.96467253523429,174.57104688272912,154.41350750768638,201.99270080194452,64.39717097243721,171.33707104405894,84.0120261822763,182.22137571077766,

,2009(b)January,186.11292478936147,399.12743201443095,198.75181085649146,192.8032955400117,234.63156317107382,229.77667051176175,206.7572174641814,155.76276239078442,211.20199974787712,44.50256466336786,167.96691145878194,51.932940561284404,188.68858741338968,
,            February,172.62263361658032,416.85969071343203,154.11169031376664,168.62819555052576,240.06249245434375,226.43487789831914,212.83471670323172,129.64842689441295,210.94558804434516,225.33915516168204,195.9960942760131,222.24531215515304,174.59244239955564,
,            March,184.75165015920626,395.397025931894,104.03823238794571,148.99535827272797,253.0404587499561,229.10055434569375,214.0428730780443,140.54919148176927,225.59260058013365,148.61401153647614,240.82011975566834,159.29197110139665,160.65869256115414,
,            April,193.34157760503174,422.2171175553269,107.39855320988868,155.91454722994612,266.872833401898,226.30541999270113,206.15053723940125,150.9231872220487,230.739493556085,17.300164689122763,148.47423441266682,21.23219156188586,154.65053419374652,
,            May,230.5741277442251,443.0235537526608,133.33043530311085,183.81130213712544,271.81093003109606,246.21173518466844,226.8910682350365,191.97118241572332,251.15347370607944,98.38626655017772,301.9704968116511,125.72983055126,194.53678731665775,
,            June,195.32906861103018,464.82653757717986,140.33438795930982,171.55088346302244,269.1741559607175,253.62689248512717,229.69362700063334,145.60405132948645,241.61738619782173,191.87816535215916,249.63398231164624,201.31992609369962,182.83203230139318,
,            July,204.60524827883287,536.5248512685564,184.90592129768433,200.20528063991628,277.1618800714413,268.3253867026974,211.4210983496788,151.2538939561408,240.88819340427986,108.04920299066299,214.58690688833016,137.3983828945289,204.4038155918026,
,            August,214.15024462371525,552.343732403286,145.20426995185707,184.04886420580135,297.6876682885606,274.8972788031077,226.93404624524783,168.5796961314091,259.98134787834556,202.77145659395364,481.6006821098005,228.79495460103368,195.9788550062882,
,            September,191.18278993841238,562.2316275899615,139.9473690846216,171.00404055705548,304.50066371126695,290.47761795042237,221.05104083387275,139.33018399735352,254.5958285951839,154.60605851960995,230.91563461709117,162.3392192487649,184.69603686841648,
,            October,183.033892351486,541.359893576157,143.72141810976024,168.61948800192906,318.3008388577975,324.0249493220867,234.70146075208075,220.90594514374175,289.6502718056022,103.32231534299234,201.80909028796833,114.80550712690871,186.30919698665923,
,            November,160.96167041462414,563.485663135217,147.02039784021215,158.38490756267385,300.91673921929873,343.70547001308745,171.29787916786862,229.19708387450476,269.30740399954925,34.819464776291156,264.141780793922,42.966071236092276,168.88751359149927,
,            December,170.3667197997957,565.3910252451974,182.67014457754073,177.68402012779922,291.21385573149774,392.2794090712193,252.21365439922732,222.34720355732648,281.82370185313005,144.9124789633601,252.3913431611729,160.35705719798628,192.09355196966365,

,2010(c)January,182.80081229085857,535.9004526664914,157.7004392205776,176.04014415570882,294.80312901878267,435.57606155563985,245.9087713940918,190.8957479372926,275.7059992233085,88.06134727746453,255.48395662355992,100.12013862836582,192.13330474103236,
,            February,176.13483573049896,626.1834959155633,183.71620026153778,183.40383572710462,293.87892988387057,443.2217025091189,242.93658441314685,178.54764799415724,274.4823956364718,37.70080239642507,316.4491403744761,49.24732735537165,193.4175027351439,
,            March,199.32645294069872,611.9256731621487,133.17216173672216,169.02514024950978,294.2254888690819,462.6157044673699,247.4277567801004,237.74878252274257,290.9957226281412,192.0051178778714,294.4369187599233,204.03768275938427,186.0013374785168,
,            April,205.30591646696496,616.849066369998,143.49526679183583,179.86453494628603,296.94082132255085,475.91997650675495,230.5776101527458,171.24238838500955,275.29823674519616,17.15324092356191,211.33979587383612,24.10538349972919,182.5539602742128,
,            May,233.95757340809266,623.024028055013,150.76288539162448,196.0417932311524,291.98762727974264,510.26294908175595,249.33797925199212,161.28443118452074,263.20863149358036,158.25064922830651,257.6266029418736,170.1902229518906,206.36871161025044,
,            June,217.95511804416066,618.2758583703854,159.1982054130509,194.1744936774929,271.40290290117275,457.76051570648184,261.37876368620783,183.72950887640835,254.88768444800115,163.8911883047032,226.66908897730903,176.335796446962,203.4414537824999,
,            July,221.9526660454206,581.0643995124,187.54313490186317,211.26454904820028,272.0064870991651,459.4564820905483,270.6581632695307,167.56867558570062,250.66409306718128,122.23553869638579,213.7412126722582,133.94308430944395,216.4416076386613,
,            August,204.42614981884287,570.8040273201811,152.45597051827076,181.0254454296891,280.9714754393786,457.3402503257019,275.52450284177985,171.66374582327475,257.4991776080425,198.9411568333754,480.4166507153266,226.05550291374095,192.69227197171497,
,            September,204.95434198696483,582.0112427663512,147.8101487198962,182.04062879866066,285.67099029313863,458.81576379901975,273.76441119058757,178.73916311754977,267.6912771946213,174.83059825046047,215.4570746721022,183.68125563022684,197.9665899149372,
,            October,205.46987869544432,572.6110017372564,162.65779521840744,189.82400254586472,287.16331952565446,570.444798370545,287.47133574422656,222.43500510930397,287.63906243954045,107.86557348802472,198.5491978520819,132.6351801088681,204.5307963934921,
,            November,209.28204151693262,618.328301811101,171.78423069430028,195.92923629586488,285.1558002683639,607.5198281336526,301.28735184582285,242.40990791810225,294.3178133986676,41.49371762487551,299.561784715912,51.05256940973758,203.07982320322387,
,            December,223.2702452440289,861.5393893792653,181.7586367522786,212.5673206920367,282.358047796645,604.3431849376925,355.78327680230876,246.68309633082774,294.1971624078472,151.04213046414807,211.13391319378843,165.51906534337493,221.76618205112752,

,,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,,

,"(a) A  series with a wide coverage and 1997 as the base year.In order to accommodate the variability arising from a monthly frequency, in computing the monthly trade indices, ",,,,,,,,,,,,,,
,      first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio between the value index and the volume index. This methodology   ,,,,,,,,,,,,,,
,      avoids the subjective imputation of prices that would be required in deriving  a price index first when certain items are not exported  or imported in a particular month.,,,,,,,,,,,,,,
,(b) Revised,,,,,,,,,,,,,,
,(c) Provisional,,,,,,,,,,,,,,

,Table 2.6.3 : Trade Indices (Exports) - Volume (a),,,,,,,,,,,,,,

,,,,,,,,,,,,,Base Period 1997=100,,
,Period,Exports ,,,,,,,,,,,,,
,,Industrial,,,,Agricultural ,,,,,Mineral,,,Total,
,,Textiles and ,Petroleum ,Other,Total ,Tea,Rubber,Coconut ,Other Agri. ,Total ,Gems,Other,Total ,Exports,
,, Garments, Products,,,,, Products, Products,,,,,,

,2006    January,105.4,54.2,124.3,109.8,113.1,83.4,96.8,107,108.3,141.7,81,137.5,110,
,            February,154.4,137.2,148.9,152.2,113.8,88.9,128.2,113.9,113.6,88.1,194.2,95.6,142.2,
,            March,141.1,52.9,133.7,136.3,127.9,100,128.9,120.9,125,116.9,174.3,121,133.4,
,            April,128.8,58.4,191.1,146.1,94.2,66.7,71.9,102.8,90.9,76.4,92.5,77.6,132,
,            May,106,56.8,169.9,124.4,132.7,81.7,90.8,128.9,123.8,62.9,124.8,67.2,123.2,
,            June,139.6,82.4,179.8,150.4,138,76,93.9,170,132.9,81.8,55.6,80,145,
,            July,113.3,58.1,130.2,117,124.2,62.8,116,163.7,124.2,80.8,79.2,80.6,117.9,
,            August,174.7,51.5,167.4,169,144.9,91.8,136,225.1,150.9,155.1,207.5,158.8,164.6,
,            September,143.6,82.8,192.2,157,121.6,54.6,118.3,199.9,126.9,133.6,142.3,134.2,149.6,
,            October,127.2,51.1,176.6,140.4,125.7,81.5,136,166.8,129.2,72,83.2,72.8,135.7,
,            November,152,92.8,302.6,197,128.3,74.4,112.4,153,125.9,264,139.2,255.2,181.7,
,            December,208.5,53.8,214.1,205.8,123.6,61.8,118.9,132.9,119.8,165.5,190.2,167.3,185.2,

,2007    January,122.8,59.8,119.8,120.1,99.3,83.7,93.7,129.7,101.7,145.5,159.6,146.5,116.4,
,            February,159.2,52.2,171.2,159.9,121.1,103.2,148.2,121.9,122.9,180.3,257.9,185.7,151.9,
,            March,153.8,58.4,142.1,147.5,127.2,108.6,141.8,123.9,127,121.9,172.7,125.5,142.3,
,            April,132.4,49.4,208.6,153.7,94.4,96.7,95.3,123.7,98.6,93.2,196.8,100.5,139.9,
,            May,147.1,56.3,204.5,162.3,108.8,68.9,94.7,172.8,113,70.5,244.1,82.7,149.4,
,            June,150.6,50.6,189.6,159.8,121.7,76.7,68.4,196,122.6,107.1,258.5,117.8,150.4,
,            July,154.6,68.8,170.1,157,139.1,77.9,193.4,172,145.1,83.2,249.5,94.9,153,
,            August,135.2,60.3,161.5,141.3,130.2,88,152.8,205.9,139.9,138,251.6,146,141,
,            September,153.2,54.4,252.2,181.1,142.9,99.5,124.1,235,150.1,62.9,330.3,81.8,172,
,            October,132.2,69.5,213.2,155.5,125.5,66,174.2,156,130.7,160.8,268.5,168.4,150,
,            November,132,52.4,286.5,177.6,123.2,69.8,105.3,183.9,125.6,189.8,287.6,196.7,166,
,            December,236.5,57.7,263.6,239.9,131.6,90.6,96.8,193.7,133.2,162.2,316.9,173.1,213.9,

,2008   January,126.06922266709512,66.3763856950381,134.6327945221193,127.03400411319247,110.24438728631361,98.25280812098266,93.78128414295209,154.49002997007966,113.5732754043361,234.32760155735593,412.76463420792504,246.93303401312127,126.25374521325043,
,            February,152.32311230848634,57.675009231742706,186.9838519051799,160.38332902656086,131.52359025844692,116.15468764774565,85.3730149764483,183.57295681191434,132.38026396309618,49.153788566369904,217.91192471805405,61.075469032703985,151.97768078438233,
,            March,162.805847232634,70.2025441202726,120.5792801690515,147.10738198510188,124.85894503539957,106.2469650067865,55.46404494482114,239.12521693898844,131.394594471263,101.18740410222362,266.4966861489825,112.86544513551155,142.80865651537385,
,            April,135.49965412036227,63.06511194942794,198.30182462450924,152.90502398956795,122.54898261640616,78.96749943460397,71.85596597819487,161.1900372544028,118.98329124134091,19.554918482021396,278.8777483164678,37.87441397664466,142.82520571973183,
,            May,151.9123199336107,77.51089086349519,245.952292227327,178.9382506540932,113.23316378828747,49.22329256247236,70.0771373369309,208.8962356734604,116.77332518378985,71.69349654518417,212.31072866516914,81.62720254373824,162.6732619187489,
