<new sheet>
sheet_name: Sheet1

,Banking Sector,,,,,,,,
,Interest Expenses,26829.972,63942.026000000005,118666.18699999999,187370.874,66089.721,137690.21800000002,0,0
,Net Interest Income,24531.629999999997,41285.706,50039.96000000001,60597.049,14139.191,25362.702,0,0
,Non-interest Income,454.9080000000001,802.5720000000001,2786.200999999999,3521.111,712.922,1957.2020000000002,0,0
,Gain from Trading (Net),-807.563,-1642.607,-597.79,-972.511,234.302,661.1460000000001,0,0
,Operating Expenses,9604.093,19829.583,30627.701,41946.958,10806.962000000001,21945.878,0,0
,Staff cost,6561.427,13556.555,21080.652000000002,28169.842,7234.413999999999,14623.061,0,0
,Impairment for Loans & Other Losses,3346.304,9693.585000000001,10731.059,8482.646999999999,1105.4830000000002,3878.965,0,0
,Profit Before VAT & Taxes ,12036.141,12565.109999999999,11467.401,13688.555,2939.6679999999997,1495.0609999999997,0,0
,"VAT, NBT and Other Taxes on Financial Service",2736.649,3914.0530000000003,4849.731,6131.489,1627.8949999999998,1308.81,0,0
,Share of Profit/(Loss) of Associates & Joint Ventures,0,0,0,0,0,0,,
,Profit Before Corporate Taxes,9299.491999999998,8651.057,6617.67,7557.066000000001,1311.7730000000001,186.25100000000003,0,0
,Corporate Tax,3289.739,3379.1119999999996,2814.6859999999997,3353.688,1108.279,-2804.145,0,0
,Profits After Corporate Tax,6009.753000000001,5271.945000000001,3802.984,4203.378000000001,203.49400000000003,2990.396,0,0


,Notes,,,,,,,,
,"(a)Total income includes interest income,Gain from Trading (Net), fee based income and other operating income  ",,,,,,,,

