"Assets, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,16502504.825000001,17206695.284,17113840.318,17225079.02,16702866.347,16983945.711386997,0,0
Cash and Due From Banks,1250809.834,1593771.026,1871683.721,2084649.5280000002,1978432.2310000001,1949258.0244365248,0,0
Investments,4750480.485,4824196.825000001,4838001.780999999,4905606.602000001,5058138.674,5504144.7910375595,0,0
Financial Assets at Fair Value Through Profit or Loss,80785.62700000001,98960.15400000001,104989.349,97556.88999999998,140803.959,219279.72930506,0,0
Financial Investments at Amortised Cost ,3538264.4450000003,4253786.405,4368436.891000001,4367745.006,4311539.3100000005,4521311.287565369,0,0
Financial Assets at Fair Value Through Other Comprehensive Income,1099927.4519999998,439211.1700000001,332319.131,407491.444,572983.299,730526.3891671301,0,0
"Investments in Subsidiaries, Associates and Joint Ventures ",31502.960999999996,32239.095999999998,32256.409999999996,32813.262,32812.106,33027.385,0,0
Net Loans and Receivables (a),9835879.314000001,10018528.635,9664290.189,9444905.776,8874172.058999998,8716175.023403218,0,0
Gross Loans and Receivables,10457376.787000002,10771350.593000002,10484853.309000002,10316613.349,9762807.952,9593805.574799117,0,0
o/w Gross LKR Loans,7599966.942999999,7566718.073,7402283.574999999,7365470.016,7273867.7530000005,7310700.318494723,0,0
Gross FCY Loans,2857409.844,3204632.52,3082569.734,2951143.333,2488940.199,2283105.256304395,0,0
Stage 3 Loans,883814.365,969672.196,1147848.2170000002,1230287.5799999998,1293505.2750000001,1315280.590431535,0,0
Net Stage 3 Loans(b),802061.3840000001,923359.656,1061575.895,1069834.619,1193170.9319999998,1247615.0829999996,0,0
Total Impairment on Loans,621497.473,752821.9579999999,820563.1200000001,871707.5730000001,888635.8930000002,877630.5513959009,0,0
o/w Individual Impairment,311727.162,373400.44499999995,411382.596,475421.10900000005,481312.46,459195.28500000003,0,0
Collective Impairment,309770.311,379421.513,409180.524,396286.46400000004,407323.433,418435.26639590104,0,0
Investment Properties (c) ,2892.959,2891.625,2890.2909999999997,2888.958,2887.624,2886.29,0,0
"Property, Plant and Equipment (c)",168656.31699999998,162157.425,162237.498,175282.10400000002,176304.697,177860.69469704,0,0
Other Assets (c) ,493785.9159999998,605149.7480000004,574736.8380000003,611746.0519999963,612931.0619999995,633620.8878126555,0,0

Licensed Specialised Banks,,,,,,,,
"Assets, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,2143459.6500000004,2165679.407,2173807.237,2191513.951,2228759.039,2235394.356,0,0
Cash and Due From Banks,118135.08700000001,122151.04699999999,116978.652,111646.35999999999,111473.956,79769.756,0,0
Investments,999633.5580000001,1007000.597,1014438.094,1026108.971,1060518.6199999999,1105499.6239999998,0,0
Financial Assets at Fair Value Through Profit or Loss,19793.958,16183.615,16458.860999999997,16079.807,19187.719,19499.873,0,0
Financial Investments at Amortised Cost ,949327.662,971613.669,968775.8190000001,974881.705,1009563.9799999999,1047041.1500000001,0,0
Financial Assets at Fair Value Through Other Comprehensive Income,25694.774999999998,13386.150000000001,22386.251,27830.296,24449.758,31641.438,0,0
"Investments in Subsidiaries, Associates and Joint Ventures ",4817.163,5817.163,6817.163,7317.163,7317.163,7317.163,0,0
Net Loans and Receivables (a),945920.7670000001,950750.718,950374.7869999998,953910.3269999999,946838.1619999999,931594.8559999999,0,0
Gross Loans and Receivables,980228.9479999997,988734.797,990612.3469999998,995901.9430000001,989237.8970000001,978633.307,0,0
o/w Gross LKR Loans,977063.8459999998,984763.265,986526.5269999999,991723.3609999999,985409.8770000001,974917.233,0,0
Gross FCY Loans,3165.102,3971.532,4085.82,4178.582,3828.02,3716.074,0,0
Stage 3 Loans,76143.63,78425.764,85866.59,83633.485,89498.956,91155.666,0,0
Net Stage 3 Loans(b),73577.07599999999,74916.217,81510.12065699999,81984.54365699999,83046.74900000001,86019.32565700001,0,0
Total Impairment on Loans,34308.181,37984.079,40237.560000000005,41991.616,42399.735,47038.451,0,0
o/w Individual Impairment,7093.187,8273.630000000001,7367.326000000001,7329.749,8179.210000000001,8174.616,0,0
Collective Impairment,27214.994,29710.449,32870.234,34661.867,34220.525,38863.835,0,0
Investment Properties (c) ,1289.9360000000001,1289.672,1289.672,1369.477,1368.477,1369.477,0,0
"Property, Plant and Equipment (c)",18999.881,18898.030000000002,19181.712,18234.998,18425.147,17991.248,0,0
Other Assets (c) ,59480.421000000126,65589.34300000015,71544.32000000037,80243.81800000017,90134.67699999987,99169.39500000034,0,0

Notes,,,,,,,,
(a) Loans and Receivables net of total impairment,,,,,,,,
(b)Net of Stage 3 impairment and Including undrawn portion,,,,,,,,
(c)Net of impairment,,,,,,,,

<new sheet>
sheet_name: Loan Classification

Banking Sector,,,,,,,,
"Classification of Loans, %",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Stage 1 Loans and Receivables,69.70706016187155,92.2088022723295,67.72579769730326,71.64756918610574,69.96216472933071,70.60549999490182,,
Stage 2 Loans and Receivables,21.090550400021773,24.973752301472583,31.23094428023287,16.716349573919135,17.248660207353335,16.221572538065885,,
Stage 3 Loans and Receivables,9.202389447506159,13.158459294703984,10.717286181874154,11.636081239975127,12.78917506331595,13.172927410213292,,


Licensed Commercial Banks,,,,,,,,
"Classification of Loans, %",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Stage 1 Loans and Receivables,68.14548118099346,93.09717414267607,66.22468901060057,70.44430901667202,68.73823100483729,69.64261443621376,,
Stage 2 Loans and Receivables,22.577931493402673,27.23092644080059,33.45207573722074,17.61548964686427,18.099844150895777,16.81490126354981,,
Stage 3 Loans and Receivables,9.276587335957318,13.708572615509148,10.907397577769796,11.940201336463712,13.161924844266935,13.542484237651006,,


Licensed Specialised Banks,,,,,,,,
"Classification of Loans, %",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Stage 1 Loans and Receivables,85.09309806865511,84.91535316670631,83.68143176215183,83.8910101745905,82.42753978026076,80.09321948944442,,
Stage 2 Loans and Receivables,6.435574785708931,6.442565917446605,7.622020388473717,7.5673984965586,8.579622921059341,10.375253144600316,,
Stage 3 Loans and Receivables,8.471327145635952,8.642080915847071,8.696547849374447,8.541591328850897,8.992837298679895,9.531527365955267,,

<new sheet>
sheet_name: Liabilities & Capital

Banking Sector ,,,,,,,,
"Liabilities, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,18645964.472,19372385.639,19287647.551,19425486.175,18931619.231,19219368.384386998,0,0
Deposits,14149765.207,14638127.939000001,14924666.901999999,15298654.192,15235439.232,15453424.0097566,0,0
LKR Deposits,10934878.723,10940085.305000002,11243689.324000001,11572658.094999999,11884569.061999999,12242496.503518162,0,0
Time Deposits,6593825.268,6959216.9,7478626.478,7984252.467,8329146.893,8551654.81946383,0,0
Savings Deposits,3565623.111,3213416.764,2970458.091,2835879.794,2868343.42,2919515.7817665697,0,0
Current Deposits,703299.735,682783.035,729363.682,701870.254,637461.221,675805.0947049701,0,0
Other Deposits,72130.60899999924,84668.60600000061,65241.07300000079,50655.57999999821,49617.52799999714,95520.8075827919,0,0
FCY Deposits,3214886.4839999997,3698042.634,3680977.5779999997,3725996.097,3350870.17,3210927.506238441,0,0
Time Deposits,2028395.483,2328350.017,2349099.439,2411096.503,2242127.334,2169982.2178715826,0,0
Savings Deposits,817771.082,954816.563,906917.999,870688.955,715352.467,642633.539401405,0,0
Current Deposits,311969.864,364377.364,359810.605,362169.146,316183.345,300283.22283013747,0,0
Other Deposits,56750.0549999997,50498.689999999944,65149.53500000015,82041.49299999978,77207.02400000021,98028.52613531612,0,0
Borrowings,2427844.305,2528422.4129999997,2155748.252,1871563.292,1469167.3010000002,1506337.3101348048,0,0
LKR Borrowings,1699724.648,1805404.298,1549152.17,1316357.9119999998,1045433.2339999999,1143508.2210000001,0,0
FCY Borrowings,728119.657,723018.1149999999,606596.082,555205.3800000001,423734.0669999999,362829.08913480496,0,0
Other Liabilities,617387.2049999982,734433.8549999967,693612.7789999992,657166.4880000018,611209.9579999968,606494.8719937801,0,0
Equity Capital & Reserves,1450967.7550000001,1471401.432,1513619.618,1598102.2029999997,1615802.7399999998,1653112.192501812,0,0


Licensed Commercial Banks,,,,,,,,
"Liabilities, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,16502504.822,17206706.232,17113840.315,17233972.23,16702860.193,16983974.036387,0,0
Deposits,12318447.159,12811244.914,13049890.36,13415885.116,13321337.377,13559086.5037566,0,0
LKR Deposits,9126439.409,9140025.783000002,9395199.513,9716439.034999998,9994343.215,10370983.770518161,0,0
Time Deposits,5219277.525,5553531.665,5993852.257,6477335.53,6786445.075,7031140.92946383,0,0
Savings Deposits,3133564.709,2820438.658,2608074.135,2487903.207,2522092.418,2569712.8747665696,0,0
Current Deposits,703299.735,682783.035,729363.682,701870.254,637461.221,675805.0947049701,0,0
Other Deposits,70297.43999999948,83272.42500000261,63909.438999999315,49330.0439999979,48344.5009999983,94324.87158279121,0,0
FCY Deposits,3192007.7499999995,3671219.131,3654690.8469999996,3699446.0810000002,3326994.162,3188102.733238441,0,0
Time Deposits,2012199.558,2308984.257,2329820.061,2391516.836,2224277.57,2152809.0608715825,0,0
Savings Deposits,811088.273,947358.82,899910.646,863718.606,709326.223,636981.923401405,0,0
Current Deposits,311969.864,364377.364,359810.605,362169.146,316183.345,300283.22283013747,0,0
Other Deposits,56750.054999999236,50498.689999999944,65149.53499999922,82041.49299999978,77207.02400000067,98028.52613531612,0,0
Borrowings,2298196.6100000003,2361758.584,2027210.2869999998,1740464.3069999998,1341459.6390000002,1345619.4501348047,0,0
LKR Borrowings,1599954.919,1675369.285,1461161.909,1225799.9139999999,953940.419,1016866.8380000002,0,0
FCY Borrowings,698241.691,686389.2989999999,566048.378,514664.393,387519.22,328752.612134805,0,0
Other Liabilities,567172.0759999994,687528.1450000014,644011.3260000013,602686.6660000011,551459.1749999989,555054.3399937842,0,0
Equity Capital & Reserves,1318688.9770000002,1346174.589,1392728.342,1474936.1409999998,1488604.0019999999,1524213.742501812,0,0


Licensed Specialised Banks,,,,,,,,
"Liabilities, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,2143459.65,2165679.407,2173807.236,2191513.945,2228759.038,2235394.348,0,0
Deposits,1831318.048,1826883.0250000001,1874776.542,1882769.076,1914101.8549999997,1894337.5060000003,0,0
LKR Deposits,1808439.314,1800059.522,1848489.811,1856219.06,1890225.8469999998,1871512.7330000002,0,0
Time Deposits,1374547.743,1405685.235,1484774.221,1506916.937,1542701.818,1520513.89,0,0
Savings Deposits,432058.402,392978.106,362383.956,347976.587,346251.002,349802.907,0,0
Current Deposits,0,0,0,0,0,0,0,0
Other Deposits,1833.1689999999944,1396.1810000000987,1331.6340000000782,1325.53600000008,1273.0270000000019,1195.9360000004526,0,0
FCY Deposits,22878.734,26823.503,26286.731,26550.016,23876.008,22824.773,0,0
Time Deposits,16195.925,19365.76,19279.378,19579.667,17849.764,17173.157,0,0
Savings Deposits,6682.809,7457.743,7007.353,6970.349,6026.244,5651.616,0,0
Current Deposits,0,0,0,0,0,0,0,0
Other Deposits,0,0,0,0,0,0,0,0
Borrowings,129647.69499999999,166663.829,128537.965,131098.98500000002,127707.662,160717.86,0,0
LKR Borrowings,99769.72899999999,130035.01299999999,87990.261,90557.998,91492.815,126641.383,0,0
FCY Borrowings,29877.966,36628.816,40547.704,40540.987,36214.846999999994,34076.477,0,0
Other Liabilities,50215.12899999996,46905.70999999996,49601.45300000021,54479.821999999695,59750.78300000029,51440.53199999966,0,0
Equity Capital & Reserves,132278.778,125226.84300000001,120891.276,123166.062,127198.73800000001,128898.45000000001,0,0

<new sheet>
sheet_name: Constituents of Regu Capital

Banking Sector,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),1239602.5535623555,1313399.432,1340170.323,1449545.954,1437799.141,1444365.82,0,0
Deductions/Adjustments (Tier I),108004.40614462,115852.698,146369.343,204493.924,219683.991,223599.841,0,0
Tier 1 Capital (After Regulatory Adjustments),1131598.1474177355,1197546.734,1193800.98,1245052.03,1218115.15,1220765.979,0,0
Tier 2 Capital (Before Regulatory Adjustments),288109.3966480508,289921.809,274192.084,278827.79,270995.043,266787.845,0,0
Deductions/Adjustments (Tier II),226.438,248.974,189.296,32.321,546.502,595.483,0,0
Capital Base (Regulatory Capital),1419481.1060657864,1487219.569,1467803.768,1523847.499,1488563.691,1486958.341,0,0


Licensed Commercial Banks,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),1123552.9105623555,1198028.088,1230127.94,1334414.62,1326403.842,1329143.204,0,0
Deductions/Adjustments (Tier I),100808.90414462,107335.943,136001.252,189587.557,204476.194,200029.093,0,0
Tier 1 Capital (After Regulatory Adjustments),1022744.0064177357,1090692.145,1094126.688,1144827.063,1121927.648,1129114.111,0,0
Tier 2 Capital (Before Regulatory Adjustments),265528.42264805076,265641.339,252993.455,254315.693,250198.545,245675.029,0,0
Deductions/Adjustments (Tier II),175.93,213.667,157.472,0,0,24.302,0,0
Capital Base (Regulatory Capital),1288096.4990657864,1356119.817,1346962.671,1399142.756,1372126.193,1374764.838,0,0


Licensed Specialised Banks,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),116049.643,115371.344,110042.383,115131.334,111395.299,115222.616,0,0
Deductions/Adjustments (Tier I),7195.502,8516.755,10368.091,14906.367,15207.797,23570.748,0,0
Tier 1 Capital (After Regulatory Adjustments),108854.141,106854.589,99674.292,100224.967,96187.502,91651.868,0,0
Tier 2 Capital (Before Regulatory Adjustments),22580.974,24280.47,21198.629,24512.097,20796.498,21112.816,0,0
Deductions/Adjustments (Tier II),50.508,35.307,31.824,32.321,546.502,571.181,0,0
Capital Base (Regulatory Capital),131384.607,131099.752,120841.097,124704.743,116437.498,112193.503,0,0

<new sheet>
sheet_name: Constituents of RWA

Banking Sector ,,,,,,,,
"Risk Weighted Assets, Rs Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,8446890.079,8772238.36,8610420.847,8383694.834,7997296.604,7856183.313,0,0
Risk Weighted Amount for Market Risk,185443.932,248105.669,202564.276,172904.422,154011.255,172768.786,0,0
Risk Weighted Amount for Operational Risk,742695.511,762968.658,785802.789,842944.218,856330.479,879343.534,0,0
Total Risk Weighted Assets,9375029.52,9783312.687,9598787.911,9399543.474,9007638.338,8908295.632,0,0


Licensed Commercial Banks,,,,,,,,
"Risk Weighted Assets, Rs Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,7853586.175,8184876.402,8025231.134,7819135.461,7442917.668,7338200.091,0,0
Risk Weighted Amount for Market Risk,175832.004,239339.73,192475.518,160795.882,141851.031,159555.282,0,0
Risk Weighted Amount for Operational Risk,651555.589,671509.517,690314.413,744521.781,769620.143,790703.845,0,0
Total Risk Weighted Assets,8680973.767,9095725.65,8908021.064,8724453.124,8354388.842,8288459.217,0,0


Licensed Specialised Banks,,,,,,,,
"Risk Weighted Assets, Rs Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,593303.904,587361.958,585189.713,564559.373,554378.936,517983.222,0,0
Risk Weighted Amount for Market Risk,9611.928,8765.939,10088.758,12108.54,12160.224,13213.504,0,0
Risk Weighted Amount for Operational Risk,91139.922,91459.141,95488.376,98422.437,86710.336,88639.689,0,0
Total Risk Weighted Assets,694055.753,687587.037,690766.847,675090.35,653249.496,619836.415,0,0

 ,,,,,,,,

